Cond1	Cond2	Cond3	MCC	Min MCC mono	Max MCC mono
1M7Mg	CMCTMg	Nai	0.5938	0.6	0.7
1M7Mg	CMCTMg	NMIACE	0.6978	0.61	0.7
1M7Mg	BzCN	Nai	0.5986	0.6	0.7
1M7Mg	BzCN	NMIACE	0.6034	0.6	0.7
1M7Mg	Nai	NMIACE	0.5986	0.6	0.7
BzCNMg	1M7	1M7ILU3	0.6494	0.6	0.71
BzCNMg	1M7	CMCTMg	0.7283	0.6	0.71
BzCNMg	1M7	BzCN	0.7283	0.6	0.71
BzCNMg	1M7	Nai	0.5986	0.6	0.71
BzCNMg	1M7	NMIACE	0.6187	0.6	0.71
BzCNMg	1M7ILU3	CMCTMg	0.6333	0.64	0.71
BzCNMg	1M7ILU3	BzCN	0.7343	0.6	0.71
BzCNMg	1M7ILU3	Nai	0.5986	0.6	0.71
BzCNMg	1M7ILU3	NMIACE	0.6187	0.61	0.71
BzCNMg	CMCTMg	BzCN	0.7343	0.6	0.71
BzCNMg	CMCTMg	Nai	0.5938	0.6	0.71
BzCNMg	CMCTMg	NMIACE	0.6134	0.61	0.71
BzCNMg	BzCN	Nai	0.5986	0.6	0.71
BzCNMg	BzCN	NMIACE	0.5986	0.6	0.71
BzCNMg	Nai	NMIACE	0.5986	0.6	0.71
1M7	1M7ILU3	CMCTMg	0.6084	0.6	0.7
1M7	1M7ILU3	BzCN	0.6187	0.6	0.64
1M7	1M7ILU3	Nai	0.5938	0.6	0.64
1M7	1M7ILU3	NMIACE	0.6034	0.6	0.64
1M7	CMCTMg	BzCN	0.6034	0.6	0.7
1M7	CMCTMg	Nai	0.5938	0.6	0.7
1M7	CMCTMg	NMIACE	0.7467	0.6	0.7
1M7	BzCN	Nai	0.5986	0.6	0.6
1M7	BzCN	NMIACE	0.6034	0.6	0.61
1M7	Nai	NMIACE	0.5986	0.6	0.61
1M7ILU3	CMCTMg	BzCN	0.6494	0.6	0.7
1M7ILU3	CMCTMg	Nai	0.7735	0.6	0.7
1M7ILU3	CMCTMg	NMIACE	0.6134	0.61	0.7
1M7ILU3	BzCN	Nai	0.5986	0.6	0.64
1M7ILU3	BzCN	NMIACE	0.6034	0.6	0.64
1M7ILU3	Nai	NMIACE	0.5986	0.6	0.64
CMCTMg	BzCN	Nai	0.5986	0.6	0.7
CMCTMg	BzCN	NMIACE	0.6034	0.6	0.7
CMCTMg	Nai	NMIACE	0.5986	0.6	0.7
BzCN	Nai	NMIACE	0.5986	0.6	0.61
